"Type","Path","Name","SizeMB","Guid","IsAtSource","ExternalRefs"
"Anim","Assets/_Project/Animations/Units/FoxMagician/FoxMagician_Attack1.anim","FoxMagician_Attack1.anim","2.957","cac4d684b889d53429dd3597a95ccaee","False","1"
"Anim","Assets/_Project/Animations/Units/LionKnight/LionKnight_Attack2.anim","LionKnight_Attack2.anim","2.841","be9f9fa98b2c23e4c9216371dc9ea909","False","1"
"Anim","Assets/_Project/Animations/Units/QuakeSpirit/QuakeSpirit_Attack1.anim","QuakeSpirit_Attack1.anim","2.606","02382162ddead754aa8eaa3aafb77a3c","False","1"
"Anim","Assets/_Project/Animations/Units/MushroomBomber/MushroomBomber_Walk1.anim","MushroomBomber_Walk1.anim","2.366","22040dcde18e87f4da6cdc8346a23a65","False","1"
"Anim","Assets/_Project/Animations/Units/LionKnight/LionKnight_Attack1.anim","LionKnight_Attack1.anim","2.337","ebadd5f4e37d7bd4dbe20158ae21143f","False","1"
"Anim","Assets/_Project/Animations/Units/LionKnight/LionKnight_Attack3.anim","LionKnight_Attack3.anim","2.014","27b6539436f784647bdead383372e70c","False","1"
"Anim","Assets/_Project/Animations/Units/BoulderSpirit/BoulderSpirit_Attack1.anim","BoulderSpirit_Attack1.anim","1.994","6f44a162d3e889849a65b0a11388f31f","False","1"
"Anim","Assets/_Project/Animations/Units/QuakeSpirit/QuakeSpirit_Attack2.anim","QuakeSpirit_Attack2.anim","1.952","c468f1c234435e3498de581698389dff","False","1"
"Anim","Assets/_Project/Animations/Units/RabbitTrickster/RabbitTrickster_Attack1.anim","RabbitTrickster_Attack1.anim","1.708","e2dc7b440149be840ab7d09ee57fc38b","False","1"
"Anim","Assets/_Project/Animations/Units/EagleArcher/EagleArcher_Attack1.anim","EagleArcher_Attack1.anim","1.614","e42bb53ed1b44184a8a7a2d295588d2e","False","1"
"Anim","Assets/_Project/Animations/Units/SpearMan/SpearMan_Attack 1.anim","SpearMan_Attack 1.anim","1.605","20a13a41a09f31b43b26f94ac24c407d","False","1"
"Anim","Assets/_Project/Animations/Units/Sniper/Sniper_Attack1.anim","Sniper_Attack1.anim","1.574","7ff66937e09831f429c39ce528abb084","False","1"
"Anim","Assets/_Project/Animations/Units/BoulderSpirit/BoulderSpirit_Attack2.anim","BoulderSpirit_Attack2.anim","1.364","2aa3ac46f77d4cd4388f17f7ae89b0f4","False","1"
"Anim","Assets/_Project/Animations/Units/QuakeSpirit/Drunk Walk Backwards.anim","Drunk Walk Backwards.anim","1.29","1c86faa5f0a329a449c0a17779ba1fa4","False","1"
"Anim","Assets/_Project/Animations/Units/EagleArcher/EagleArcher_Attack3.anim","EagleArcher_Attack3.anim","1.205","96701dc157b629049a567c730f00a0f5","False","1"
"Anim","Assets/_Project/Animations/Units/StreamSpirit/StreamSpirit_Attack1.anim","StreamSpirit_Attack1.anim","1.023","a0df018537bc48f48a420d618f05d05b","False","1"
"Anim","Assets/_Project/Animations/Units/RhinoBreaker/RhinoBreaker_Walk1.anim","RhinoBreaker_Walk1.anim","0.961","7a8ccdb3a66a96949a660c263249774a","False","1"
