=== BlockingOverlay 렌더링 디버깅 로그 ===
=== 세션 시작: 2026-06-22 20:32:50 ===
[20:32:50.902] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[20:33:10.223] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:33:10.223] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:33:13.785] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:33:13.786] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:33:14.966] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=NULL
[20:33:16.917] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:33:20.223] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:33:21.128] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:33:24.306] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:33:24.306] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:33:25.435] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=NULL
[20:34:20.617] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[20:38:24.307] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[20:38:41.366] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:38:41.368] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:38:45.770] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=NULL
[20:38:51.845] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:38:51.846] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:38:54.988] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:38:57.256] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:38:59.897] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:39:02.029] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:39:04.018] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:39:04.019] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:39:05.433] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:39:05.435] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:39:08.045] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=NULL
[20:43:23.278] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[20:43:52.803] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:43:52.804] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:43:56.593] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:43:56.593] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:43:58.085] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:43:58.086] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:43:59.313] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=NULL
[20:43:59.313] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[20:44:00.565] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[20:44:01.911] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=NULL
[21:10:53.913] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:13.947] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:27.175] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:27.199] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:27.199] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:27.200] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:27.200] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:41.307] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=있음
[21:16:41.308] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[21:16:41.312] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:41.312] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:41.930] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:42.807] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=있음
[21:16:42.807] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[21:16:42.808] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:42.808] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:43.264] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:44.003] [INFO] [UI/BuildingPlacementUI] Show 호출 | UIManager.Instance=있음
[21:16:44.004] [INFO] [UI/BuildingPlacementUI] Show 팀/종족 | Team=Blue, Race=Human
[21:16:44.005] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:44.005] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:44.608] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:45.500] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=있음
[21:16:45.500] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:45.500] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:46.074] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:47.098] [INFO] [UI/BuildingPanelBase] Show 호출 | UIManager.Instance=있음
[21:16:47.099] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:47.099] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:47.600] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:48.115] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=있음
[21:16:48.115] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:48.115] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:49.423] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:49.923] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=있음
[21:16:49.923] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
[21:16:49.924] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=True, _blockingOverlay=alpha→1
[21:16:50.664] [INFO] [UI/UIManager] ApplyBlockingOverlayVisibility | show=False, _blockingOverlay=alpha→0
[21:16:51.502] [INFO] [UI/InGameSettingsUI] Show 호출 | UIManager.Instance=있음
[21:16:51.502] [INFO] [UI/UIManager] ShowBlockingOverlay 호출 | _blockingOverlay=연결됨, refCount=1, onTap=있음
